Title,Authors/Editors,Publication,DOI,URL,Topic
In situ synchrotron X-ray imaging of 4140 steel laser powder bed fusion,"
Andrew Bobel, Louis G. Hector Jr., Isaac Chelladurai, Anil K. Sachdev, Tyson Brown, Whitney A. Poling, Robert Kubic, Benjamin Gould, Cang Zhao, Niranjan Parab, Aaron Greco, Tao Sun","Materialia, Volume 6, June 2019, 100306.",https://doi.org/10.1016/j.mtla.2019.100306,https://www.sciencedirect.com/science/article/abs/pii/S2589152919301024,Melt Pool Dynamics and Imaging
A virtual sensing approach for monitoring melt-pool dimensions using high speed coaxial imaging during laser powder bed fusion of metals,"Louca R. Goossens, Brecht Van Hooreweder","Additive Manufacturing, Volume 40, April 2021, 101923.",https://doi.org/10.1016/j.addma.2021.101923,https://www.sciencedirect.com/science/article/pii/S2214860421000889,Modeling and Simulation and Imaging
Correlation of meltpool characteristics and residual stresses at high laser intensity for metal lpbf process,"Alexandre Staub, Adriaan B. Spierings, Konrad Wegener","Advances in Materials and Processing Technologies 
Volume 5, 2019 - Issue 1",https://doi.org/10.1080/2374068X.2018.1535643,https://www.tandfonline.com/doi/full/10.1080/2374068X.2018.1535643,Melt Pool Dynamics
Pressure dependence of the laser-metal interaction under laser powder bed fusion conditions probed by in situ X-ray imaging,"Nicholas P. Calta, Aiden A. Martin, Joshua A. Hammons, Michael H. Nielsen, Tien T. Roehling, Kamel Fezzaa, Manyalibo J. Matthews, Jason R. Jeffries, Trevor M. Willey, Jonathan R.I. Lee","Additive Manufacturing, Volume 32, March 2020, 101084.",https://doi.org/10.1016/j.addma.2020.101084,https://www.sciencedirect.com/science/article/pii/S2214860419318317,Melt Pool Dynamics
3-Dimensional heat transfer modeling for laser powder-bed fusion additive manufacturing with volumetric heat sources based on varied thermal conductivity and absorptivity,"Zhidong Zhang, Yuze Huang, Adhitan Rani Kasinathan, Shahriar Imani Shahabad, Usman Ali, Yahya Mahmoodkhani, Ehsan Toyserkani","Optics & Laser Technology, Volume 109, January 2019, Pages 297-312.",https://doi.org/10.1016/j.optlastec.2018.08.012,https://www.sciencedirect.com/science/article/abs/pii/S003039921830851X,Modeling and Simulation
Laser powder bed fusion of a near-eutectic Al–Fe binary alloy: Processing and microstructur,"Xing Qi, Naoki Takata, Asuka Suzuki, Makoto Kobashi, Masaki Kato","Additive Manufacturing, Volume 35, October 2020, 101308.",https://doi.org/10.1016/j.addma.2020.101308,https://www.sciencedirect.com/science/article/abs/pii/S2214860420306801,"	Material-Specific Studies"
Heat source model calibration for thermal analysis of laser powder-bed fusion,"Shahriar Imani Shahabad, Zhidong Zhang, Ali Keshavarzkermani, Usman Ali, Yahya Mahmoodkhani, Reza Esmaeilizadeh, Ali Bonakdar & Ehsan Toyserkani","The International Journal of Advanced Manufacturing Technology, Volume 106, pages 3367–3379, (2020)",https://doi.org/10.1007/s00170-019-04908-3,https://link.springer.com/article/10.1007/s00170-019-04908-3,Melt Pool Dynamics
Using machine learning to identify in-situ melt pool signatures indicative of flaw formation in a laser powder bed fusion additive manufacturing process,"Luke Scime, Jack Beuth","Additive Manufacturing, Volume 25, January 2019, Pages 151-165.",https://doi.org/10.1016/j.addma.2018.11.010,https://www.sciencedirect.com/science/article/abs/pii/S2214860418306869,Melt Pool Dynamics ; Modeling and Simulation
Keyhole threshold and morphology in laser melting revealed by ultrahigh-speed x-ray imaging,"Ross Cunningham, Cang Zhao, Niranjan Parab, Christopher Kantzos, Joseph Pauza, Kamel Fezzaa, Tao Sun, Anthony D. Rollett","Science, Vol. 363, No. 6429.",https://doi.org/10.1126/science.aav4687,https://www.science.org/doi/10.1126/science.aav4687#tab-contributors,Melt Pool Dynamics ; Defects and Quality Assurance
Determining processing behaviour of pure Cu in laser powder bed fusion using direct micro-calorimetry,"Leonidas Gargalis, Jianchao Ye, Maria Strantza, Alexander Rubenchik, James W. Murray, Adam T. Clare, Ian A. Ashcroft, Richard Hague, Manyalibo J. Matthews","Journal of Materials Processing Technology, Volume 294, August 2021, 117130.",https://doi.org/10.1016/j.jmatprotec.2021.117130,https://www.sciencedirect.com/science/article/abs/pii/S092401362100090X,"	Material-Specific Studies"
Frequency domain measurements of melt pool recoil force using modal analysis,"Tristan Cullom, Cody Lough, Nicholas Altese, Douglas Bristow, Robert Landers, Ben Brown, Troy Hartwig, Andrew Barnard, Jason Blough, Kevin Johnson & Edward Kinzel ","Scientific Reports Volume 11, Article number: 10959 (2021)",https://doi.org/10.1038/s41598-021-90423-z,https://www.nature.com/articles/s41598-021-90423-z,Melt Pool Dynamics
"Single-track investigation of IN738LC superalloy fabricated by laser powder bed fusion: Track morphology, bead characteristics and part quality","Chuan Guo, Zhen Xu, Yang Zhou, Shi Shi, Gan Li, Hongxing Lu, Qiang Zhu, R. Mark Ward","Journal of Materials Processing Technology, Volume 290, April 2021, 117000",https://doi.org/10.1016/j.jmatprotec.2020.117000,https://www.sciencedirect.com/science/article/abs/pii/S0924013620304222,Defects and Quality Assurance
3D multi-layer grain structure simulation of powder bed fusion additive manufacturing,"Johannes A. Koepf, Martin R. Gotterbarm, Matthias Markl, Carolin Körner","Acta Materialia, Volume 152, 15 June 2018, Pages 119-126.",https://doi.org/10.1016/j.actamat.2018.04.030,https://www.sciencedirect.com/science/article/pii/S1359645418303070,Modeling and Simulation
Evaporation model for beam based additive manufacturing using free surface lattice Boltzmann methods,"Alexander Klassen, Thorsten Scharowsky, Carolin Körner","Journal of Physics D: Applied Physics, Volume 47, Number 27",https://doi.org/10.1088/0022-3727/47/27/275303,https://iopscience.iop.org/article/10.1088/0022-3727/47/27/275303/meta,Modeling and Simulation
Phase field simulation of powder bed-based additive manufacturing,"Liang-Xing Lu, N. Sridhar, Yong-Wei Zhang","Acta Materialia, Volume 144, 1 February 2018, Pages 801-809.",https://doi.org/10.1016/j.actamat.2017.11.033,https://www.sciencedirect.com/science/article/abs/pii/S135964541730976X,Modeling and Simulation
Macroscopic simulation and experimental measurement of melt pool characteristics in selective electron beam melting of Ti-6Al-4V,"Daniel Riedlbauer, Thorsten Scharowsky, Robert F. Singer, Paul Steinmann, Carolin Körner & Julia Mergheim ","The International Journal of Advanced Manufacturing Technology, Volume 88, pages 1309–1317, (2017)",https://doi.org/10.1007/s00170-016-8819-6,https://link.springer.com/article/10.1007/s00170-016-8819-6,Modeling and Simulation
Assessing printability maps in additive manufacturing of metal alloys,"Luke Johnson, Mohamad Mahmoudi, Bing Zhang, Raiyan Seede, Xueqin Huang, Janine T. Maier, Hans J. Maier, Ibrahim Karaman, Alaa Elwany, Raymundo Arróyave","Acta Materialia, Volume 176, 1 September 2019, Pages 199-210",https://doi.org/10.1016/j.actamat.2019.07.005,https://www.sciencedirect.com/science/article/abs/pii/S1359645419304355,Process Parameters and Optimization
"Enhanced Material, Parts Optimization and Process Intensification","Uwe Reisgen, Dietmar Drummer, Holger Marschall","Proceedings of the First International Joint Conference on Enhanced Material and Part Optimization and Process Intensification, EMPOrIA 2020, May 19-20, 2020, Aachen, Germany",https://doi.org/10.1007/978-3-030-70332-5#affiliations,https://link.springer.com/book/10.1007/978-3-030-70332-5#affiliations,Process Parameters and Optimization
Three-dimensional semi-elliptical modeling of melt pool geometry considering hatch spacing and time spacing in metal additive manufacturing,"Elham Mirkoohi, Daniel E. Sievers, Hamid Garmestani, Kuoning Chiang, Steven Y. Liang

Elham Mirkoohi, Daniel E. Sievers, Hamid Garmestani, Kuoning Chiang, Steven Y. Liang","Journal of Manufacturing Processes, Volume 45, September 2019, Pages 532-543",https://doi.org/10.1016/j.jmapro.2019.07.028,https://www.sciencedirect.com/science/article/abs/pii/S1526612518316086,Modeling and Simulation
Data mining and statistical inference in selective laser melting,Chandrika Kamath,"The International Journal of Advanced Manufacturing Technology, Volume 86, pages 1659–1677, (2016)",https://doi.org/10.1007/s00170-015-8289-2,https://link.springer.com/article/10.1007/s00170-015-8289-2,Modelling and Simulation
Multi-Resolution SPH Simulation of a Laser Powder Bed Fusion Additive Manufacturing Process,"Mohamadreza Afrasiabi, Christof Lüthi, Markus Bambach, and Konrad Wegener","Appl. Sci. 2021, 11(7), 2962",https://doi.org/10.3390/app11072962,https://www.mdpi.com/2076-3417/11/7/2962,Modelling and Simulation
Analysis of laser-induced microcracking in tungsten under additive manufacturing conditions: Experiment and simulation,"Bey Vrancken, Rishi K. Ganeriwala, and Manyalibo J. Matthews","Acta Materialia, Volume 194, 1 August 2020, Pages 464-472",https://doi.org/10.1016/j.actamat.2020.04.060,https://www.sciencedirect.com/science/article/pii/S1359645420303281,Defects and Quality Assurance
"In situ and Operando X-ray Imaging of Directed Energy
Deposition Additive Manufacturing","Y. Chen, S. J. Clark, L. Sinclair, C. L. A. Leung, S. Marussi, T. Connolley, O. V. Magdysyuk, R. C. Atwood, G. J. Baxter, M. A. Jones, D. G. McCartney, I. Todd, and P. D. Lee",arXiv:2006.09087,https://doi.org/10.48550/arXiv.2006.09087,https://arxiv.org/abs/2006.09087,Melt Pool Dynamics and Imaging
Understanding Crack Formation Mechanisms of Ti–48Al–2Cr–2Nb Single Tracks During Laser Powder Bed Fusion,"Seulbi Lee, Jaewoong Kim, Jungho Choe, Seong-Woong Kim, Jae-Keun Hong, and Yoon Suk Choi","Metals and Materials International, Volume 27, pages 78–91, (2021)",https://doi.org/10.1007/s12540-020-00770-1,https://link.springer.com/article/10.1007/s12540-020-00770-1,Defects and Quality Assurance
Rapid Alloy Development of Extremely High-Alloyed Metals Using Powder Blends in Laser Powder Bed Fusion,"Simon Ewald, Fabian Kies, Steffen Hermsen, Maximilian Voshage, Christian Haase, and Johannes Henrich Schleifenbaum","Materials 2019, 12(10), 1706",https://doi.org/10.3390/ma12101706,https://www.mdpi.com/1996-1944/12/10/1706,"	Material-Specific Studies"
Controlling crack formation and porosity in laser powder bed fusion: Alloy design and process optimisation,"Hossein Eskandari Sabzi, Suhyun Maeng, Xingzhong Liang, Marco Simonelli, Nesma T. Aboulkhair, and Pedro E.J. Rivera-Díaz-del-Castillo","Additive Manufacturing, Volume 34, August 2020, 101360",https://doi.org/10.1016/j.addma.2020.101360,https://www.sciencedirect.com/science/article/abs/pii/S2214860420307326,Defects and Quality Assurance
Laser powder bed fusion of AA7075 alloy: Influence of process parameters on porosity and hot cracking,"Wojciech Stopyra, Konrad Gruber, Irina Smolina, Tomasz Kurzynowski, and Bogumiła Kuźnicka","Additive Manufacturing, Volume 35, October 2020, 101270",https://doi.org/10.1016/j.addma.2020.101270,https://www.sciencedirect.com/science/article/pii/S2214860420306424,"	Material-Specific Studies"
Modulating laser intensity profile ellipticity for microstructural control during metal additive manufacturing,"Tien T. Roehling, Sheldon S.Q. Wu, Saad A. Khairallah, John D. Roehling, S. Stefan Soezeri, Michael F. Crumb, and Manyalibo J. Matthews","Acta Materialia, Volume 128, 15 April 2017, Pages 197-206",https://doi.org/10.1016/j.actamat.2017.02.025,https://www.sciencedirect.com/science/article/pii/S1359645417301167,Defects and Quality Assurance
Dynamics of pore formation during laser powder bed fusion additive manufacturing,"Aiden A. Martin, Nicholas P. Calta, Saad A. Khairallah, Jenny Wang, Phillip J. Depond, Anthony Y. Fong, Vivek Thampy, Gabe M. Guss, Andrew M. Kiss, Kevin H. Stone, Christopher J. Tassone, Johanna Nelson Weker, Michael F. Toney, Tony van Buuren & Manyalibo J. Matthews ","Nature Communications volume 10, Article number: 1987 (2019)",https://doi.org/10.1038/s41467-019-10009-2,https://www.nature.com/articles/s41467-019-10009-2,Defects and Quality Assurance
Machine learning guided adaptive laser power control in selective laser melting for pore reduction,"Fred M. Carter III, Conor Porter, Dominik Kozjek, Kento Shimoyoshi, Makoto Fujishima, Naruhiro Irino, and Jian Cao","CIRP Annals, Volume 73, Issue 1, 2024, Pages 149-152",https://doi.org/10.1016/j.cirp.2024.04.043,"https://www.sciencedirect.com/science/article/abs/pii/S000785062400057X#:~:text=An%20adaptive%20laser%20power%20control,path%20based%20on%20mechanistic%20features",Modeling and Simulation
Additive manufacturing of dense WE43 Mg alloy by laser powder bed fusion,"Holden Hyer, Le Zhou, George Benson, Brandon McWilliams, Kyu Cho, and Yongho Sohn","Additive Manufacturing, Volume 33, May 2020, 101123",https://doi.org/10.1016/j.addma.2020.101123,https://www.sciencedirect.com/science/article/abs/pii/S2214860419320718,Material-Specific Studies
Effect of energy density on laser powder bed fusion built single tracks and thin wall structures with 100 µm preplaced powder layer thickness,"S.K. Nayak, S.K. Mishra, C.P. Paul, A.N. Jinoop, and K.S. Bindra","Optics & Laser Technology, Volume 125, May 2020, 106016",https://doi.org/10.1016/j.optlastec.2019.106016,https://www.sciencedirect.com/science/article/abs/pii/S0030399219315609,Modeling and Simulation
EBM-manufactured single tracks of Alloy 718: Influence of energy input and focus offset on geometrical and microstructural characteristics,"Paria Karimi, Esmaeil Sadeghi, Joakim Ålgårdh, and Joel Andersson","Materials Characterization, Volume 148, February 2019, Pages 88-99",https://doi.org/10.1016/j.matchar.2018.11.033,https://www.sciencedirect.com/science/article/abs/pii/S1044580318328948,Modeling and Simulation
Effect of processing parameters during the laser beam melting of Inconel 738: Comparison between simulated and experimental melt pool shape,"D. Grange, A. Queva, G. Guillemot, M. Bellet, J.-D. Bartout, and C. Colin","Journal of Materials Processing Technology, Volume 289, March 2021, 116897",https://doi.org/10.1016/j.jmatprotec.2020.116897,https://www.sciencedirect.com/science/article/abs/pii/S0924013620303113,Reviews and Comprehensive Studies
Mitigation of lack of fusion defects in powder bed fusion additive manufacturing,"T. Mukherjee, T. DebRoy","Journal of Manufacturing Processes Volume 36 ,December 2018,Pages 442-449",https://doi.org/10.1016/j.jmapro.2018.10.028,https://www.sciencedirect.com/science/article/abs/pii/S1526612518302603,Defects and Quality Assurance
Heterogeneous sensing and scientific machine learning for quality assurance in laser powder bed fusion – A single-track study,"Aniruddha Gaikwad, Brian Giera, Gabriel M. Guss , Jean-Baptiste Forien, Manyalibo J. Matthews , Prahalada Rao","Additive Manufacturing Volume 36  December 2020, 101659",https://doi.org/10.1016/j.addma.2020.101659,https://www.sciencedirect.com/science/article/pii/S2214860420310319,Modelling and Simulation; Defects and Quality Assurance
A review of Laser Powder Bed Fusion Additive Manufacturing of aluminium alloys: Microstructure and properties,"H.R. Kotadia (Associate Professor) , G. Gibbons  , A. Das  , P.D. Howes","Additive Manufacturing Volume 46, October 2021, 102155",https://doi.org/10.1016/j.addma.2021.102155,https://www.sciencedirect.com/science/article/abs/pii/S2214860421003195,Reviews and Comprehensive Studies
"Laser powder bed fusion: a state-of-the-art review of the technology, materials, properties & defects, and numerical modelling","Sohini Chowdhury, N. Yadaiah , Chander Prakash, Seeram Ramakrishna , Saurav Dixit  , Lovi Raj Gupta  , Dharam Buddhi","Journal of Materials Research and Technology Volume 20, September–October 2022, Pages 2109-2172",https://doi.org/10.1016/j.jmrt.2022.07.121,https://www.sciencedirect.com/science/article/pii/S2238785422011607,Reviews and Comprehensive Studies
Investigation of Melt Pool Geometry Control in Additive Manufacturing Using Hybrid Modeling," Sudeepta Mondal, Daniel Gwynn, Asok Ray, Amrita Basak","Metals 2020, 10(5), 683",https://doi.org/10.3390/met10050683,https://www.mdpi.com/2075-4701/10/5/683,Modeling and Simulation
Additive manufacturing of magnesium alloys: Characterization and post-processing,"Shambhu Kumar Manjhi , Prithivirajan Sekar , Srikanth Bontha, A.S.S. Balan","International Journal of Lightweight Materials and Manufacture Volume 7, Issue 1 , January 2024, Pages 184-213",https://doi.org/10.1016/j.ijlmm.2023.06.004,https://www.sciencedirect.com/science/article/pii/S2588840423000379,Reviews and Comprehensive Studies
Powder Bed Fusion of nickel-based superalloys: A review,"Salomé Sanchez, Peter Smith, Zhengkai Xu , Gabriele Gaspard , Christopher J. Hyde , Wessel W. Wits, Ian A. Ashcroft , Hao Chen, Adam T. Clare","International Journal of Machine Tools and Manufacture Volume 165, June 2021, 103729",https://doi.org/10.1016/j.ijmachtools.2021.103729,https://www.sciencedirect.com/science/article/pii/S0890695521000390,Reviews and Comprehensive Studies
"A comprehensive review on laser powder bed fusion of steels: Processing, microstructure, defects and control methods, mechanical properties, current challenges and future trends","Shubhavardhan Ramadurga Narasimharaju, Wenhan Zeng, Tian Long See , Zicheng Zhu, Paul Scott, Xiangqian Jiang (Jane), Shan Lou","Journal of Manufacturing Processes Volume 75 , March 2022, Pages 375-414", https://doi.org/10.1016/j.jmapro.2021.12.033,https://www.sciencedirect.com/science/article/pii/S1526612521009178,Reviews and Comprehensive Studies
"Advances in additively manufactured titanium alloys by powder bed fusion and directed energy deposition: Microstructure, defects, and mechanical behavior","H.Y. Ma, J.C. Wang, P. Qin, Y.J. Liu, L.Y. Chen, L.Q. Wang, L.C. Zhang","Journal of Materials Science & Technology Volume 183 , 1 June 2024, Pages 32-62",https://doi.org/10.1016/j.jmst.2023.11.003,https://www.sciencedirect.com/science/article/pii/S1005030223009271,Reviews and Comprehensive Studies
A review on additive manufacturing of refractory tungsten and tungsten alloys,"Alberico Talignani, Raiyan Seede, Austin Whitt, Shiqi Zheng, Jianchao Ye, Ibrahim Karaman, Michael M. Kirka, Yutai Katoh, Y. Morris Wang","Additive Manufacturing Volume 58, October 2022, 103009",https://doi.org/10.1016/j.addma.2022.103009,https://www.sciencedirect.com/science/article/abs/pii/S221486042200402X,Reviews and Comprehensive Studies
High Strength Aluminium Alloys in Laser-Based Powder Bed Fusion – a Review,Julie Langedahl Leirmo,"Procedia CIRP Volume 104, 2021, Pages 1747-1752",https://doi.org/10.1016/j.procir.2021.11.294,https://www.sciencedirect.com/science/article/pii/S2212827121011926,Reviews and Comprehensive Studies
